Местное время в Благовещенске,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
15.02.2018 18:00,-13.0,743.0,,,44,Ветер; дующий с юга,2,,,50%., ,,,,,,,,,,,,,,,,,
10.02.2018 12:00,-17.0,744.0,,,48,Ветер; дующий с северо-запада,2,,,Облаков нет., ,,,,,,,,,,,,,,,,,
10.02.2018 09:00,-22.0,745.0,,,67,Ветер; дующий с севера,1,,,100%., ,,,,,,,,,,,,,,,,,
10.02.2018 06:00,-23.0,744.0,,,71,Ветер; дующий с запада,3,,,100%., ,,,,,,,,,,,,,,,,,
10.02.2018 03:00,-22.0,745.0,,,69,Ветер; дующий с запада,3,,,100%., ,,,,,,,,,,,,,,,,,
10.02.2018 00:00,-21.0,745.0,,,68,Ветер; дующий с запада,3,,,100%., ,,,,,,,,,,,,,,,,,
09.02.2018 21:00,-18.0,745.0,,,69,Ветер; дующий с северо-запада,4,,,,Снег с перерывами слабый в срок наблюдения. ,,,,,,,,,,,,,,,,,
09.02.2018 18:00,-16.0,744.0,,,70,Ветер; дующий с севера,3,,,,Снег с перерывами слабый в срок наблюдения. ,,,,,,,,,,,,,,,,,
09.02.2018 15:00,-15.0,744.0,,,66,Ветер; дующий с севера,4,,,,Снег с перерывами слабый в срок наблюдения. ,,,,,,,,,,,,,,,,,
09.02.2018 12:00,-17.0,743.0,,,65,Ветер; дующий с севера,5,,,,Снег с перерывами слабый в срок наблюдения. ,,,,,,,,,,,,,,,,,
09.02.2018 09:00,-20.0,744.0,,,71,Ветер; дующий с северо-запада,4,,,,Снег с перерывами слабый в срок наблюдения. ,,,,,,,,,,,,,,,,,
09.02.2018 06:00,-22.0,743.0,,,72,Ветер; дующий с северо-запада,2,,,100%., ,,,,,,,,,,,,,,,,,
09.02.2018 03:00,-24.0,743.0,,,71,Ветер; дующий с севера,1,,,100%., ,,,,,,,,,,,,,,,,,
09.02.2018 00:00,-23.0,743.0,,,65,Ветер; дующий с севера,2,,,100%., ,,,,,,,,,,,,,,,,,
08.02.2018 21:00,-18.0,743.0,,,58,Ветер; дующий с юга,2,,,100%., ,,,,,,,,,,,,,,,,,
08.02.2018 18:00,-15.0,742.0,,,51,Ветер; дующий с юго-востока,3,,,100%., ,,,,,,,,,,,,,,,,,
08.02.2018 15:00,-14.0,741.0,,,46,Ветер; дующий с юго-востока,2,,,100%., ,,,,,,,,,,,,,,,,,
08.02.2018 12:00,-17.0,741.0,,,55,Ветер; дующий с юга,3,,,50%., ,,,,,,,,,,,,,,,,,
08.02.2018 09:00,-23.0,741.0,,,65,Ветер; дующий с юго-востока,3,,,100%., ,,,,,,,,,,,,,,,,,
08.02.2018 06:00,-24.0,741.0,,,67,Ветер; дующий с юго-востока,2,,,100%., ,,,,,,,,,,,,,,,,,
08.02.2018 03:00,-24.0,743.0,,,61,Ветер; дующий с юга,2,,,100%., ,,,,,,,,,,,,,,,,,
08.02.2018 00:00,-21.0,744.0,,,56,Ветер; дующий с юга,2,,,100%., ,,,,,,,,,,,,,,,,,
07.02.2018 21:00,-19.0,746.0,,,46,Ветер; дующий с юга,2,,,50%., ,,,,,,,,,,,,,,,,,
07.02.2018 18:00,-17.0,748.0,,,54,Ветер; дующий с юга,3,,,50%., ,,,,,,,,,,,,,,,,,
07.02.2018 15:00,-14.0,749.0,,,42,Ветер; дующий с юга,3,,,50%., ,,,,,,,,,,,,,,,,,
07.02.2018 12:00,-15.0,751.0,,,43,Ветер; дующий с северо-запада,3,,,Облаков нет., ,,,,,,,,,,,,,,,,,
07.02.2018 09:00,-26.0,752.0,,,64,Ветер; дующий с севера,2,,,,Мгла. ,,,,,,,,,,,,,,,,,
07.02.2018 06:00,-28.0,752.0,,,63,Ветер; дующий с северо-запада,2,,,100%., ,,,,,,,,,,,,,,,,,
07.02.2018 03:00,-28.0,754.0,,,65,Ветер; дующий с северо-запада,1,,,100%., ,,,,,,,,,,,,,,,,,
07.02.2018 00:00,-27.0,755.0,,,65,Ветер; дующий с севера,2,,,100%., ,,,,,,,,,,,,,,,,,
06.02.2018 21:00,-25.0,755.0,,,61,Ветер; дующий с северо-запада,2,,,Облаков нет., ,,,,,,,,,,,,,,,,,
06.02.2018 18:00,-19.0,755.0,,,46,Ветер; дующий с юго-востока,1,,,Облаков нет., ,,,,,,,,,,,,,,,,,
06.02.2018 15:00,-14.0,755.0,,,31,Ветер; дующий с севера,2,,,Облаков нет., ,,,,,,,,,,,,,,,,,
06.02.2018 12:00,-20.0,756.0,,,45,Ветер; дующий с северо-запада,2,,,Облаков нет., ,,,,,,,,,,,,,,,,,
06.02.2018 09:00,-30.0,756.0,,,65,Ветер; дующий с северо-запада,2,,,Облаков нет., ,,,,,,,,,,,,,,,,,
06.02.2018 06:00,-31.0,755.0,,,66,Ветер; дующий с севера,2,,,100%., ,,,,,,,,,,,,,,,,,
06.02.2018 03:00,-29.0,756.0,,,66,Ветер; дующий с северо-запада,2,,,100%., ,,,,,,,,,,,,,,,,,
06.02.2018 00:00,-29.0,755.0,,,65,Ветер; дующий с северо-запада,2,,,100%., ,,,,,,,,,,,,,,,,,
05.02.2018 21:00,-26.0,756.0,,,59,Ветер; дующий с северо-запада,2,,,Облаков нет., ,,,,,,,,,,,,,,,,,
05.02.2018 18:00,-22.0,755.0,,,47,Ветер; дующий с северо-запада,1,,,Облаков нет., ,,,,,,,,,,,,,,,,,
05.02.2018 15:00,-17.0,755.0,,,36,Ветер; дующий с севера,3,,,Облаков нет., ,,,,,,,,,,,,,,,,,
05.02.2018 12:00,-20.0,756.0,,,43,Ветер; дующий с севера,4,,,Облаков нет., ,,,,,,,,,,,,,,,,,
05.02.2018 09:00,-26.0,756.0,,,65,Ветер; дующий с северо-запада,2,,,Облаков нет., ,,,,,,,,,,,,,,,,,
05.02.2018 06:00,-30.0,756.0,,,67,Ветер; дующий с севера,2,,,100%., ,,,,,,,,,,,,,,,,,
05.02.2018 03:00,-28.0,757.0,,,65,Ветер; дующий с запада,2,,,100%., ,,,,,,,,,,,,,,,,,
05.02.2018 00:00,-26.0,757.0,,,62,Ветер; дующий с северо-запада,4,,,100%., ,,,,,,,,,,,,,,,,,
04.02.2018 21:00,-24.0,758.0,,,57,Ветер; дующий с севера,2,,,Облаков нет., ,,,,,,,,,,,,,,,,,
04.02.2018 18:00,-22.0,758.0,,,53,Ветер; дующий с запада,2,,,Облаков нет., ,,,,,,,,,,,,,,,,,
04.02.2018 15:00,-18.0,757.0,,,43,Ветер; дующий с северо-запада,3,,,Облаков нет., ,,,,,,,,,,,,,,,,,
04.02.2018 12:00,-21.0,758.0,,,51,Ветер; дующий с северо-запада,3,,,Облаков нет., ,,,,,,,,,,,,,,,,,
04.02.2018 09:00,-30.0,758.0,,,66,Ветер; дующий с севера,3,,,50%., ,,,,,,,,,,,,,,,,,
04.02.2018 06:00,-30.0,758.0,,,66,Ветер; дующий с севера,2,,,100%., ,,,,,,,,,,,,,,,,,
04.02.2018 03:00,-29.0,758.0,,,67,Ветер; дующий с северо-запада,3,,,100%., ,,,,,,,,,,,,,,,,,
04.02.2018 00:00,-27.0,758.0,,,70,Ветер; дующий с северо-запада,2,,,100%., ,,,,,,,,,,,,,,,,,
03.02.2018 21:00,-27.0,758.0,,,65,Ветер; дующий с севера,2,,,Облаков нет., ,,,,,,,,,,,,,,,,,
03.02.2018 18:00,-21.0,758.0,,,51,Ветер; дующий с севера,1,,,Облаков нет., ,,,,,,,,,,,,,,,,,
03.02.2018 15:00,-16.0,758.0,,,37,Ветер; дующий с запада,1,,,Облаков нет., ,,,,,,,,,,,,,,,,,
03.02.2018 12:00,-19.0,759.0,,,50,Ветер; дующий с запада,2,,,Облаков нет., ,,,,,,,,,,,,,,,,,
03.02.2018 09:00,-29.0,759.0,,,67,Ветер; дующий с севера,2,,,Облаков нет., ,,,,,,,,,,,,,,,,,
03.02.2018 06:00,-29.0,759.0,,,67,Ветер; дующий с севера,2,,,100%., ,,,,,,,,,,,,,,,,,
03.02.2018 03:00,-28.0,760.0,,,67,Ветер; дующий с севера,2,,,100%., ,,,,,,,,,,,,,,,,,
03.02.2018 00:00,-28.0,759.0,,,69,Ветер; дующий с севера,1,,,100%., ,,,,,,,,,,,,,,,,,
02.02.2018 21:00,-26.0,760.0,,,65,Ветер; дующий с северо-запада,2,,,50%., ,,,,,,,,,,,,,,,,,
02.02.2018 18:00,-21.0,760.0,,,54,Ветер; дующий с северо-запада,1,,,50%., ,,,,,,,,,,,,,,,,,
02.02.2018 15:00,-17.0,760.0,,,45,Ветер; дующий с северо-запада,3,,,50%., ,,,,,,,,,,,,,,,,,
02.02.2018 12:00,-21.0,760.0,,,55,Ветер; дующий с северо-запада,3,,,100%., ,,,,,,,,,,,,,,,,,
02.02.2018 09:00,-28.0,760.0,,,69,Ветер; дующий с северо-запада,2,,,100%., ,,,,,,,,,,,,,,,,,
02.02.2018 06:00,-28.0,759.0,,,69,Ветер; дующий с севера,2,,,100%., ,,,,,,,,,,,,,,,,,
02.02.2018 03:00,-26.0,760.0,,,68,Ветер; дующий с севера,2,,,Облаков нет., ,,,,,,,,,,,,,,,,,
02.02.2018 00:00,-26.0,759.0,,,69,Ветер; дующий с северо-запада,2,,,100%., ,,,,,,,,,,,,,,,,,
01.02.2018 21:00,-25.0,759.0,,,67,Ветер; дующий с севера,2,,,100%., ,,,,,,,,,,,,,,,,,
01.02.2018 18:00,-18.0,758.0,,,52,Ветер; дующий с юго-востока,1,,,50%., ,,,,,,,,,,,,,,,,,
01.02.2018 15:00,-14.0,756.0,,,36,Ветер; дующий с юго-востока,2,,,50%., ,,,,,,,,,,,,,,,,,
01.02.2018 12:00,-17.0,756.0,,,46,Ветер; дующий с запада,1,,,50%., ,,,,,,,,,,,,,,,,,
01.02.2018 09:00,-27.0,755.0,,,67,Ветер; дующий с северо-запада,2,,,50%., ,,,,,,,,,,,,,,,,,
01.02.2018 06:00,-27.0,753.0,,,67,Ветер; дующий с запада,1,,,100%., ,,,,,,,,,,,,,,,,,
01.02.2018 03:00,-26.0,753.0,,,65,Ветер; дующий с северо-запада,1,,,100%., ,,,,,,,,,,,,,,,,,
01.02.2018 00:00,-25.0,752.0,,,67,Ветер; дующий с севера,2,,,100%., ,,,,,,,,,,,,,,,,,
31.01.2018 21:00,-24.0,752.0,,,61,Ветер; дующий с севера,1,,,100%., ,,,,,,,,,,,,,,,,,
31.01.2018 18:00,-18.0,751.0,,,47,Ветер; дующий с юго-востока,2,,,50%., ,,,,,,,,,,,,,,,,,
31.01.2018 15:00,-13.0,749.0,,,33,Ветер; дующий с запада,3,,,Облаков нет., ,,,,,,,,,,,,,,,,,
31.01.2018 12:00,-16.0,749.0,,,39,Ветер; дующий с северо-запада,4,,,Облаков нет., ,,,,,,,,,,,,,,,,,
31.01.2018 09:00,-23.0,749.0,,,57,Ветер; дующий с запада,3,,,Облаков нет., ,,,,,,,,,,,,,,,,,
31.01.2018 06:00,-26.0,749.0,,,66,Ветер; дующий с запада,2,,,100%., ,,,,,,,,,,,,,,,,,
31.01.2018 03:00,-27.0,749.0,,,67,Ветер; дующий с северо-запада,2,,,100%., ,,,,,,,,,,,,,,,,,
31.01.2018 00:00,-28.0,748.0,,,67,Ветер; дующий с севера,1,,,100%., ,,,,,,,,,,,,,,,,,
30.01.2018 21:00,-26.0,748.0,,,63,Ветер; дующий с севера,2,,,Облаков нет., ,,,,,,,,,,,,,,,,,
30.01.2018 18:00,-20.0,747.0,,,47,Ветер; дующий с севера,1,,,Облаков нет., ,,,,,,,,,,,,,,,,,
30.01.2018 15:00,-16.0,745.0,,,42,Ветер; дующий с северо-запада,3,,,Облаков нет., ,,,,,,,,,,,,,,,,,
30.01.2018 12:00,-18.0,746.0,,,43,Ветер; дующий с северо-запада,3,,,50%., ,,,,,,,,,,,,,,,,,
30.01.2018 09:00,-26.0,745.0,,,61,Ветер; дующий с северо-запада,2,,,100%., ,,,,,,,,,,,,,,,,,
30.01.2018 06:00,-26.0,743.0,,,60,Ветер; дующий с севера,2,,,100%., ,,,,,,,,,,,,,,,,,
30.01.2018 03:00,-27.0,744.0,,,62,Ветер; дующий с севера,2,,,100%., ,,,,,,,,,,,,,,,,,
30.01.2018 00:00,-26.0,743.0,,,59,Ветер; дующий с северо-запада,2,,,100%., ,,,,,,,,,,,,,,,,,
29.01.2018 21:00,-26.0,744.0,,,56,Ветер; дующий с севера,1,,,Облаков нет., ,,,,,,,,,,,,,,,,,
29.01.2018 18:00,-22.0,743.0,,,45,Ветер; дующий с запада,1,,,50%., ,,,,,,,,,,,,,,,,,
29.01.2018 15:00,-18.0,742.0,,,36,Ветер; дующий с северо-запада,3,,,50%., ,,,,,,,,,,,,,,,,,
29.01.2018 12:00,-20.0,743.0,,,41,Ветер; дующий с северо-запада,4,,,Облаков нет., ,,,,,,,,,,,,,,,,,
29.01.2018 09:00,-24.0,743.0,,,54,Ветер; дующий с запада,3,,,Облаков нет., ,,,,,,,,,,,,,,,,,
29.01.2018 06:00,-24.0,743.0,,,53,Ветер; дующий с запада,3,,,100%., ,,,,,,,,,,,,,,,,,
29.01.2018 03:00,-25.0,744.0,,,55,Ветер; дующий с северо-запада,3,,,100%., ,,,,,,,,,,,,,,,,,
29.01.2018 00:00,-28.0,743.0,,,66,Ветер; дующий с северо-запада,2,,,100%., ,,,,,,,,,,,,,,,,,
28.01.2018 21:00,-27.0,745.0,,,61,Ветер; дующий с севера,2,,,Облаков нет., ,,,,,,,,,,,,,,,,,
28.01.2018 18:00,-23.0,745.0,,,50,Ветер; дующий с запада,1,,,Облаков нет., ,,,,,,,,,,,,,,,,,
28.01.2018 15:00,-18.0,744.0,,,38,Ветер; дующий с северо-запада,3,,,50%., ,,,,,,,,,,,,,,,,,
28.01.2018 12:00,-21.0,744.0,,,45,Ветер; дующий с северо-запада,5,,,50%., ,,,,,,,,,,,,,,,,,
28.01.2018 09:00,-26.0,744.0,,,57,Ветер; дующий с запада,3,,,50%., ,,,,,,,,,,,,,,,,,
28.01.2018 06:00,-28.0,743.0,,,58,Ветер; дующий с запада,3,,,100%., ,,,,,,,,,,,,,,,,,
28.01.2018 03:00,-28.0,745.0,,,59,Ветер; дующий с северо-запада,2,,,100%., ,,,,,,,,,,,,,,,,,
28.01.2018 00:00,-26.0,745.0,,,52,Ветер; дующий с северо-запада,2,,,100%., ,,,,,,,,,,,,,,,,,
27.01.2018 21:00,-24.0,746.0,,,48,Ветер; дующий с запада,2,,,Облаков нет., ,,,,,,,,,,,,,,,,,
27.01.2018 18:00,-22.0,748.0,,,43,Ветер; дующий с запада,2,,,50%., ,,,,,,,,,,,,,,,,,
27.01.2018 15:00,-18.0,748.0,,,32,Ветер; дующий с запада,2,,,Облаков нет., ,,,,,,,,,,,,,,,,,
27.01.2018 12:00,-21.0,750.0,,,38,Ветер; дующий с северо-запада,4,,,Облаков нет., ,,,,,,,,,,,,,,,,,
27.01.2018 09:00,-25.0,751.0,,,48,Ветер; дующий с запада,2,,,Облаков нет., ,,,,,,,,,,,,,,,,,
27.01.2018 06:00,-27.0,751.0,,,52,Ветер; дующий с запада,1,,,100%., ,,,,,,,,,,,,,,,,,
27.01.2018 03:00,-26.0,753.0,,,49,Штиль; безветрие,0,,,100%., ,,,,,,,,,,,,,,,,,
27.01.2018 00:00,-23.0,752.0,,,41,Ветер; дующий с севера,2,,,100%., ,,,,,,,,,,,,,,,,,
26.01.2018 21:00,-22.0,753.0,,,43,Ветер; дующий с северо-запада,3,,,50%., ,,,,,,,,,,,,,,,,,
26.01.2018 18:00,-19.0,753.0,,,37,Ветер; дующий с северо-запада,3,,,50%., ,,,,,,,,,,,,,,,,,
26.01.2018 15:00,-17.0,753.0,,,31,Ветер; дующий с северо-запада,4,,,100%., ,,,,,,,,,,,,,,,,,
26.01.2018 12:00,-20.0,754.0,,,35,Ветер; дующий с северо-запада,5,,,50%., ,,,,,,,,,,,,,,,,,
26.01.2018 09:00,-23.0,755.0,,,40,Ветер; дующий с северо-запада,6,,,100%., ,,,,,,,,,,,,,,,,,
26.01.2018 06:00,-23.0,755.0,,,41,Ветер; дующий с севера,5,,,100%., ,,,,,,,,,,,,,,,,,
26.01.2018 03:00,-22.0,756.0,,,41,Ветер; дующий с северо-запада,6,,,100%., ,,,,,,,,,,,,,,,,,
26.01.2018 00:00,-23.0,756.0,,,42,Ветер; дующий с северо-запада,5,,,100%., ,,,,,,,,,,,,,,,,,
25.01.2018 21:00,-23.0,757.0,,,41,Ветер; дующий с северо-запада,5,,,100%., ,,,,,,,,,,,,,,,,,
25.01.2018 18:00,-23.0,757.0,,,44,Ветер; дующий с северо-запада,5,,,100%., ,,,,,,,,,,,,,,,,,
25.01.2018 15:00,-23.0,757.0,,,38,Ветер; дующий с северо-запада,5,,,100%., ,,,,,,,,,,,,,,,,,
25.01.2018 12:00,-25.0,758.0,,,40,Ветер; дующий с севера,5,,,100%., ,,,,,,,,,,,,,,,,,
25.01.2018 09:00,-29.0,758.0,,,43,Ветер; дующий с северо-запада,5,,,100%., ,,,,,,,,,,,,,,,,,
25.01.2018 06:00,-30.0,758.0,,,43,Ветер; дующий с северо-запада,5,,,100%., ,,,,,,,,,,,,,,,,,
25.01.2018 03:00,-30.0,758.0,,,46,Ветер; дующий с запада,4,,,100%., ,,,,,,,,,,,,,,,,,
25.01.2018 00:00,-29.0,758.0,,,46,Ветер; дующий с северо-запада,5,,,100%., ,,,,,,,,,,,,,,,,,
24.01.2018 21:00,-30.0,757.0,,,50,Ветер; дующий с севера,3,,,Облаков нет., ,,,,,,,,,,,,,,,,,
24.01.2018 18:00,-29.0,757.0,,,49,Ветер; дующий с севера,2,,,50%., ,,,,,,,,,,,,,,,,,
24.01.2018 15:00,-26.0,755.0,,,39,Ветер; дующий с северо-запада,3,,,Облаков нет., ,,,,,,,,,,,,,,,,,
24.01.2018 12:00,-28.0,755.0,,,49,Ветер; дующий с севера,4,,,Облаков нет., ,,,,,,,,,,,,,,,,,
24.01.2018 09:00,-37.0,754.0,,,64,Ветер; дующий с северо-запада,2,,,50%., ,,,,,,,,,,,,,,,,,
24.01.2018 06:00,-37.0,753.0,,,64,Ветер; дующий с северо-запада,2,,,100%., ,,,,,,,,,,,,,,,,,
24.01.2018 03:00,-37.0,752.0,,,63,Ветер; дующий с северо-запада,2,,,100%., ,,,,,,,,,,,,,,,,,
24.01.2018 00:00,-36.0,751.0,,,63,Ветер; дующий с северо-запада,1,,,100%., ,,,,,,,,,,,,,,,,,
23.01.2018 21:00,-35.0,751.0,,,61,Ветер; дующий с северо-запада,2,,,Облаков нет., ,,,,,,,,,,,,,,,,,
23.01.2018 18:00,-31.0,750.0,,,48,Ветер; дующий с севера,2,,,Облаков нет., ,,,,,,,,,,,,,,,,,
23.01.2018 15:00,-25.0,749.0,,,33,Ветер; дующий с севера,2,,,Облаков нет., ,,,,,,,,,,,,,,,,,
23.01.2018 12:00,-28.0,749.0,,,42,Ветер; дующий с северо-запада,3,,,Облаков нет., ,,,,,,,,,,,,,,,,,
23.01.2018 09:00,-36.0,749.0,,,63,Ветер; дующий с севера,2,,,Облаков нет., ,,,,,,,,,,,,,,,,,
23.01.2018 06:00,-36.0,748.0,,,63,Ветер; дующий с севера,2,,,100%., ,,,,,,,,,,,,,,,,,
23.01.2018 03:00,-36.0,748.0,,,65,Ветер; дующий с северо-запада,2,,,100%., ,,,,,,,,,,,,,,,,,
23.01.2018 00:00,-34.0,749.0,,,63,Ветер; дующий с северо-запада,2,,,100%., ,,,,,,,,,,,,,,,,,
22.01.2018 21:00,-32.0,748.0,,,63,Ветер; дующий с севера,2,,,Облаков нет., ,,,,,,,,,,,,,,,,,
22.01.2018 18:00,-28.0,748.0,,,49,Ветер; дующий с юга,1,,,Облаков нет., ,,,,,,,,,,,,,,,,,
22.01.2018 15:00,-24.0,747.0,,,37,Ветер; дующий с севера,2,,,Облаков нет., ,,,,,,,,,,,,,,,,,
22.01.2018 12:00,-26.0,748.0,,,44,Ветер; дующий с северо-запада,4,,,Облаков нет., ,,,,,,,,,,,,,,,,,
22.01.2018 09:00,-34.0,749.0,,,65,Ветер; дующий с севера,1,,,Облаков нет., ,,,,,,,,,,,,,,,,,
22.01.2018 06:00,-34.0,749.0,,,65,Ветер; дующий с севера,2,,,100%., ,,,,,,,,,,,,,,,,,
22.01.2018 03:00,-33.0,750.0,,,67,Ветер; дующий с северо-запада,1,,,100%., ,,,,,,,,,,,,,,,,,
22.01.2018 00:00,-33.0,750.0,,,66,Ветер; дующий с северо-запада,1,,,100%., ,,,,,,,,,,,,,,,,,
21.01.2018 21:00,-30.0,751.0,,,63,Ветер; дующий с северо-запада,2,,,Облаков нет., ,,,,,,,,,,,,,,,,,
21.01.2018 18:00,-26.0,750.0,,,48,Ветер; дующий с северо-запада,2,,,Облаков нет., ,,,,,,,,,,,,,,,,,
21.01.2018 15:00,-21.0,750.0,,,38,Ветер; дующий с севера,2,,,Облаков нет., ,,,,,,,,,,,,,,,,,
21.01.2018 12:00,-23.0,751.0,,,42,Ветер; дующий с северо-запада,3,,,Облаков нет., ,,,,,,,,,,,,,,,,,
21.01.2018 09:00,-27.0,752.0,,,56,Ветер; дующий с севера,2,,,Облаков нет., ,,,,,,,,,,,,,,,,,
21.01.2018 06:00,-25.0,751.0,,,52,Ветер; дующий с северо-запада,5,,,100%., ,,,,,,,,,,,,,,,,,
21.01.2018 03:00,-23.0,751.0,,,58,Ветер; дующий с северо-запада,6,,,100%., ,,,,,,,,,,,,,,,,,
21.01.2018 00:00,-22.0,750.0,,,63,Ветер; дующий с северо-запада,5,,,100%., ,,,,,,,,,,,,,,,,,
20.01.2018 21:00,-21.0,749.0,,,64,Ветер; дующий с северо-запада,5,,,,Снег с перерывами слабый в срок наблюдения. ,,,,,,,,,,,,,,,,,
20.01.2018 18:00,-22.0,747.0,,,75,Ветер; дующий с запада,2,,,,Снег непрерывный слабый в срок наблюдения. ,,,,,,,,,,,,,,,,,
20.01.2018 15:00,-20.0,746.0,,,61,Ветер; дующий с севера,2,,,100%., ,,,,,,,,,,,,,,,,,
